index,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Nitzschia,k__Chromista;p__Bacillariophyta;o__Cymbellales;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphonema,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;__,k__Chromista;p__Bacillariophyta;__;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Rhoicospheniaceae;g__Rhoicosphenia,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Encyonema,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Anomoeoneidaceae;g__Adlafia,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Navicula,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Amphora,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Mayamaea,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Sellaphora,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Achnanthidium,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Fragilaria,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Staurosira,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Reimeria,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Fistulifera,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Gomphonemataceae;g__Gomphoneis,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Planothidium,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;__,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Ulnaria,k__Chromista;p__Bacillariophyta;o__Paraliales;f__Radialiplicataceae;g__Ellerbeckia,k__Chromista;p__Bacillariophyta;o__Melosirales;f__Melosiraceae;g__Melosira,k__Chromista;p__Bacillariophyta;o__Achnanthales;f__Achnanthidiaceae;g__Psammothidium,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;g__Pinnularia,Unassigned;__;__;__;__,k__Chromista;__;__;__;__,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Tryblionella,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Cymbellaceae;g__Cymbella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;__,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Surirella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Diatoma,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;g__Iconella,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Surirellaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;g__Cyclotella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;g__Craticula,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Bacillaria,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pleurosigmataceae;g__Gyrosigma,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;g__Caloneis,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;g__Halamphora,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Sellaphoraceae;g__Fallacia,k__Chromista;p__Bacillariophyta;o__Surirellales;f__Entomoneidaceae;g__Entomoneis,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Gedaniella,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Skeletonemataceae;g__Discostella,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Neidiaceae;g__Neidium,k__Chromista;p__Bacillariophyta;o__Achnanthales;__;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Berkeleyaceae;g__Parlibellus,k__Chromista;p__Bacillariophyta;o__Aulacoseirales;f__Aulacoseiraceae;g__Aulacoseira,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Pinnulariaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Stauroneidaceae;g__Stauroneis,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Asterionella,k__Chromista;p__Bacillariophyta;o__Fragilariales;f__Fragilariaceae;g__Stauroforma,k__Chromista;p__Bacillariophyta;o__Surirellales;__;__,k__Chromista;p__Bacillariophyta;o__Cymbellales;f__Anomoeoneidaceae;__,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Diploneidaceae;g__Diploneis,k__Chromista;p__Bacillariophyta;o__Naviculales;f__Naviculaceae;g__Geissleria,k__Chromista;p__Bacillariophyta;o__Thalassiophysales;f__Catenulaceae;__,k__Chromista;p__Bacillariophyta;o__Thalassiosirales;f__Stephanodiscaceae;g__Cyclostephanos,k__Chromista;p__Bacillariophyta;o__Melosirales;__;__,k__Chromista;p__Bacillariophyta;o__Bacillariales;f__Bacillariaceae;g__Hantzschia,k__Chromista;p__Bacillariophyta;o__Eunotiales;f__Eunotiaceae;g__Eunotia,k__Chromista;p__Bacillariophyta;o__Tabellariales;f__Tabellariaceae;g__Meridion
sample-38,40114.0,85.0,408.0,232.0,47783.0,1.0,38.0,4969.0,410.0,3.0,14.0,124.0,0.0,8.0,37.0,3.0,272.0,0.0,0.0,1528.0,6.0,26.0,719.0,0.0,39.0,4.0,0.0,1.0,1.0,64.0,6.0,0.0,451.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-39,4804.0,711.0,7605.0,8159.0,34620.0,2353.0,113.0,382.0,39.0,3.0,245.0,12.0,93.0,71.0,18.0,263.0,1141.0,364.0,57.0,62.0,138.0,21.0,907.0,0.0,77.0,2.0,13.0,17.0,2.0,37.0,7.0,9.0,76.0,1060.0,9.0,174.0,15.0,1.0,17.0,3.0,2.0,3.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,46.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-43,20391.0,245.0,1775.0,646.0,30674.0,50.0,115.0,1602.0,705.0,13.0,521.0,226.0,0.0,7.0,50.0,7.0,0.0,3.0,8.0,983.0,1.0,19.0,176.0,0.0,0.0,2.0,10.0,11.0,0.0,46.0,9.0,0.0,173.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-45,12523.0,981.0,1880.0,5749.0,28375.0,818.0,132.0,11.0,14.0,40.0,292.0,6.0,54.0,88.0,26.0,168.0,164.0,39.0,37.0,74.0,39.0,104.0,179.0,0.0,77.0,0.0,12.0,22.0,3.0,32.0,6.0,30.0,2171.0,422.0,100.0,48.0,187.0,57.0,34.0,13.0,10.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-50,36195.0,66.0,256.0,101.0,35374.0,3.0,12.0,580.0,840.0,1.0,19.0,396.0,0.0,5.0,26.0,2.0,24.0,0.0,0.0,379.0,22.0,32.0,72.0,4.0,0.0,1.0,0.0,0.0,0.0,42.0,7.0,0.0,68.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-51,14718.0,186.0,11228.0,11882.0,42187.0,341.0,180.0,25.0,49.0,1.0,366.0,6.0,25.0,93.0,13.0,329.0,1645.0,15.0,129.0,57.0,12.0,21.0,344.0,0.0,4.0,0.0,4.0,9.0,0.0,45.0,15.0,0.0,12.0,564.0,6.0,1.0,2.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-52,11994.0,1056.0,1748.0,5434.0,29683.0,749.0,118.0,16.0,19.0,47.0,302.0,9.0,44.0,106.0,25.0,176.0,212.0,27.0,56.0,82.0,45.0,113.0,207.0,0.0,65.0,0.0,16.0,16.0,4.0,33.0,14.0,48.0,2094.0,364.0,124.0,42.0,208.0,75.0,16.0,7.0,33.0,10.0,2.0,1.0,1.0,0.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-57,2839.0,273.0,3515.0,2402.0,29450.0,588.0,100.0,148.0,7.0,6.0,116.0,4.0,31.0,22.0,15.0,229.0,498.0,1335.0,48.0,25.0,218.0,16.0,213.0,0.0,12.0,0.0,5.0,10.0,0.0,17.0,10.0,1.0,14.0,284.0,2.0,28.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-62,7025.0,565.0,15794.0,2109.0,28901.0,22.0,12.0,1136.0,523.0,0.0,6.0,160.0,2.0,11.0,291.0,1.0,28.0,101.0,0.0,21.0,29.0,15.0,20.0,18.0,8.0,0.0,0.0,1.0,0.0,44.0,5.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-63,5495.0,184.0,2160.0,1108.0,18666.0,100.0,411.0,16.0,3.0,11.0,483.0,2.0,16.0,7.0,11.0,1014.0,87.0,64.0,573.0,63.0,6.0,42.0,485.0,0.0,30.0,0.0,18.0,28.0,0.0,80.0,16.0,4.0,20.0,665.0,7.0,30.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-64,34276.0,550.0,3165.0,13726.0,62418.0,941.0,392.0,47.0,149.0,22.0,987.0,15.0,228.0,504.0,62.0,605.0,731.0,36.0,172.0,78.0,48.0,67.0,1167.0,0.0,677.0,0.0,20.0,88.0,16.0,60.0,23.0,89.0,2180.0,1174.0,247.0,226.0,331.0,33.0,68.0,95.0,74.0,13.0,10.0,0.0,2.0,22.0,9.0,946.0,172.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
sample-69,2566.0,229.0,3218.0,2203.0,27979.0,549.0,87.0,133.0,5.0,0.0,112.0,10.0,35.0,29.0,13.0,206.0,485.0,1218.0,40.0,32.0,163.0,17.0,204.0,0.0,4.0,0.0,3.0,6.0,0.0,23.0,1.0,1.0,11.0,263.0,2.0,28.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-74,6406.0,833.0,26184.0,2806.0,37220.0,1.0,34.0,380.0,154.0,5.0,13.0,160.0,0.0,4.0,90.0,2.0,98.0,1.0,0.0,169.0,9.0,11.0,128.0,4.0,22.0,1.0,0.0,1.0,1.0,36.0,7.0,0.0,157.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-75,17421.0,472.0,26405.0,1993.0,52178.0,26.0,427.0,3852.0,2323.0,4.0,51.0,772.0,13.0,82.0,549.0,2.0,95.0,122.0,3.0,69.0,61.0,10.0,38.0,78.0,9.0,10.0,0.0,10.0,111.0,58.0,14.0,0.0,170.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
sample-76,29147.0,815.0,4520.0,13018.0,65980.0,2017.0,487.0,38.0,52.0,32.0,1049.0,11.0,141.0,197.0,77.0,580.0,414.0,80.0,63.0,321.0,51.0,98.0,2145.0,0.0,1204.0,0.0,27.0,42.0,8.0,58.0,22.0,78.0,4768.0,2193.0,182.0,740.0,342.0,26.0,97.0,48.0,107.0,15.0,4.0,2.0,8.0,4.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample-81,19010.0,600.0,28186.0,2154.0,53392.0,31.0,487.0,4092.0,2559.0,5.0,53.0,838.0,17.0,86.0,598.0,1.0,102.0,109.0,3.0,84.0,69.0,12.0,40.0,113.0,11.0,9.0,1.0,9.0,130.0,47.0,19.0,0.0,184.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
sample-86,12839.0,591.0,1541.0,733.0,43855.0,293.0,1780.0,6928.0,1630.0,105.0,6226.0,48.0,34.0,28.0,295.0,450.0,28.0,119.0,54.0,348.0,69.0,23.0,84.0,24.0,13.0,13.0,78.0,56.0,0.0,63.0,52.0,0.0,204.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
